author,content,published,title,url
Staff Writer,,2 years ago,Nigerian government aims to improve the quality of healthcare service,http://www.healthnews.ng/nigerian-government-aims-to-improve-the-quality-of-healthcare-service/
Staff Writer,,2 years ago,Nigeria now has a health facility registry,http://www.healthnews.ng/nigeria-now-has-a-health-facility-registry/
Paul Adepoju,,2 years ago,WHO is introducing another experimental Ebola vaccine in DR Congo,http://www.healthnews.ng/who-is-introducing-another-experimental-ebola-vaccine-in-dr-congo/
Staff Writer,,2 years ago,Whole body MRI may help to detect spread of cancers more quickly,http://www.healthnews.ng/whole-body-mri-may-help-to-detect-spread-of-cancers-more-quickly/
Staff Writer,,2 years ago,Here’s why many kidney transplants fail,http://www.healthnews.ng/heres-why-many-kidney-transplants-fail/
Staff Writer,,2 years ago,"Legal marijuana reduces chronic pain, but increases injuries and car accidents",http://www.healthnews.ng/legal-marijuana-reduces-chronic-pain-but-increases-injuries-and-car-accidents/
Paul Adepoju,,2 years ago,3.4 billion people are one medical bill away from poverty – World Bank,http://www.healthnews.ng/3-4-billion-people-are-one-medical-bill-away-from-poverty-world-bank/
Staff Writer,,2 years ago,Liberia’s former president and Lady Gaga’s mother named WHO Ambassadors,http://www.healthnews.ng/liberias-former-president-and-lady-gagas-mother-named-who-ambassadors/
Staff Writer,,2 years ago,Algeria certified malaria-free by WHO,http://www.healthnews.ng/algeria-certified-malaria-free-by-who/
Staff Writer,,2 years ago,Ebola outbreak in DR Congo worsening while support lags,http://www.healthnews.ng/ebola-outbreak-in-dr-congo-worsening-while-support-lags/
WHO,,2 years ago,New report calls for urgent action to avert antimicrobial resistance crisis,http://www.healthnews.ng/new-report-calls-for-urgent-action-to-avert-antimicrobial-resistance-crisis/
Staff Writer,,2 years ago,Gene therapy restores immunity in infants with rare immunodeficiency disease,http://www.healthnews.ng/gene-therapy-restores-immunity-in-infants-with-rare-immunodeficiency-disease/
Staff Writer,,2 years ago,Harnessing digital technologies is essential for universal health coverage – WHO DG,http://www.healthnews.ng/harnessing-digital-technologies-is-essential-for-universal-health-coverage-who-dg/
Staff Writer,,2 years ago,New strategy for treating multiple forms of cancerous tumors,http://www.healthnews.ng/new-strategy-for-treating-multiple-forms-of-cancerous-tumors/
Staff Writer,,2 years ago,Dettol announces Funke Akindele as Brand Ambassador,http://www.healthnews.ng/dettol-announces-funke-akindele-as-brand-ambassador/
Staff Writer,,2 years ago,Cervical cancer is more aggressive when HPV is not detected,http://www.healthnews.ng/cervical-cancer-is-more-aggressive-when-hpv-is-not-detected/
Staff Writer,,2 years ago,New global campaign to inspire support for vaccines,http://www.healthnews.ng/new-global-campaign-to-inspire-support-for-vaccines/
